AreaID,AreaName,AreaLevel,AreaParentID,AreaGroup
UGA,Uganda,1,,
UGA001,Kampala,2,UGA,
UGA001005,Kawempe,3,UGA001,
UGA001004,Central,3,UGA001,
UGA001003,Makindye,3,UGA001,
UGA001002,Nakawa,3,UGA001,
UGA001001,Lubaga,3,UGA001,
UGA001006,Other Division,3,UGA001,
UGA001005001,Mulago 3,4,UGA001005,
UGA001004001,Kisenyi 1,4,UGA001004,
UGA001005003,Wandegeya,4,UGA001005,
UGA001005002,Makerere 3,4,UGA001005,
UGA001004003,Industrial Area,4,UGA001004,
UGA001004002,Kisenyi 2,4,UGA001004,
UGA001003003,Katwe 2,4,UGA001003,
UGA001003004,Nsambya Central,4,UGA001003,
UGA001003002,Kibuli,4,UGA001003,
UGA001003001,Kabalagala,4,UGA001003,
UGA001002001,Banda,4,UGA001002,
UGA001001003,Kisenyi 1,4,UGA001001,
UGA001001002,Nankulabye,4,UGA001001,
UGA001001001,Lungujja,4,UGA001001,
UGA001001005,Kibuli,4,UGA001001,
UGA001002002,Mbuya,4,UGA001002,
UGA001005004,Ssebina,4,UGA001005,
UGA001004004,Kisenyi 3,4,UGA001004,
UGA001003007,Kibuye,4,UGA001003,
UGA001003006,Okiling,4,UGA001003,
UGA001003005,Katwe 1,4,UGA001003,
UGA001002003,Mbuya 1,4,UGA001002,
UGA001004006,Central,4,UGA001004,
UGA001006001,Other Parish,4,UGA001006,
UGA001001006,Lubaga,4,UGA001001,
UGA001005005,Kawempe,4,UGA001005,
UGA001006003,Nakawa,4,UGA001002,
UGA001003008,Makindye,4,UGA001003,
UGA001005005002,Kawempe,4,UGA001005,
UGA001004007,Kisenyi 11,4,UGA001004,
UGA001003008005,Nsambya,4,UGA001003,
UGA001003008006,Kipamba,4,UGA001003,
UGA001003008007,Katwe 2,4,UGA001003,
UGA001001007,Lubya,4,UGA001001,
UGA001001008,Masanafu,4,UGA001001,
UGA001004008,Mengo,4,UGA001004,
UGA001004001001,Buwanika Zone,5,UGA001004001,
UGA001003001001,Bwire,5,UGA001003001,
UGA001005001002,Nsooba,5,UGA001005001,
UGA001001003001,Yoana Maria,5,UGA001001003,
UGA001005001001,Kifumbira,5,UGA001005001,
UGA001001002001,Suzana,5,UGA001001002,
UGA001001001001,Zone 8,5,UGA001001001,
UGA001002001001,Zone 1,5,UGA001002001,
UGA001003004002,Katabira,5,UGA001003004,
UGA001003004001,Central,5,UGA001003004,
UGA001001005001,Market A,5,UGA001001005,
UGA001005003001,Katanga,5,UGA001005003,
UGA001005002001,Dobbi zone,5,UGA001005002,
UGA001004003001,7th Street zone,5,UGA001004003,
UGA001004002001,Musajja alumbwa,5,UGA001004002,
UGA001003003001,Central,5,UGA001003003,
UGA001003002001,Kimbugwe,5,UGA001003002,
UGA001002002001,Kaggo Zone,5,UGA001002002,
UGA001005003005,Kiwanyii,5,UGA001005003,
UGA001005003004,Kamwanyi,5,UGA001005003,
UGA001005003003,Busia,5,UGA001005003,
UGA001005003002,Kimwanyi,5,UGA001005003,
UGA001005002006,Kibe Zone,5,UGA001005002,
UGA001005002005,Mayinja,5,UGA001005002,
UGA001005002004,Sebina,5,UGA001005002,
UGA001005002003,Good Hope,5,UGA001005002,
UGA001005002002,Kiggundu Zone,5,UGA001005002,
UGA001005001003,Kalerwe zone,5,UGA001005001,
UGA001004003002,Luzige,5,UGA001004003,
UGA001004002013,Kiti,5,UGA001004002,
UGA001004002012,Central,5,UGA001004002,
UGA001004002011,MARKET VIEW,5,UGA001004002,
UGA001004002010,Yoana Maria,5,UGA001004002,
UGA001004002009,Muzaana zone,5,UGA001004002,
UGA001004002008,Church Area,5,UGA001004002,
UGA001004002007,Nannozi,5,UGA001004002,
UGA001004002006,Kakajjo,5,UGA001004002,
UGA001004002005,Sserwanga Village,5,UGA001004002,
UGA001004002004,Social Center,5,UGA001004002,
UGA001004002003,kasaato,5,UGA001004002,
UGA001004002002,Lubiri Triangle,5,UGA001004002,
UGA001004001008,Kiti,5,UGA001004001,
UGA001004001007,Muzaana zone,5,UGA001004001,
UGA001004001006,Kasaato,5,UGA001004001,
UGA001004001005,Church area,5,UGA001004001,
UGA001004001004,Central,5,UGA001004001,
UGA001004001003,Kisenyi,5,UGA001004001,
UGA001004001002,Blue room village,5,UGA001004001,
UGA001003003017,Katwe,5,UGA001003003,
UGA001003003016,Nawanku,5,UGA001003003,
UGA001003003015,Jjuuko,5,UGA001003003,
UGA001003003014,Katenda zone,5,UGA001003003,
UGA001003003013,Embassy zone,5,UGA001003003,
UGA001003003012,Taawo zone,5,UGA001003003,
UGA001003003011,Muzaana zone,5,UGA001003003,
UGA001003003010,Kinyoro,5,UGA001003003,
UGA001003003009,St Paul,5,UGA001003003,
UGA001003003008,Kevina,5,UGA001003003,
UGA001003003007,Kiganda,5,UGA001003003,
UGA001003003006,Base Zone,5,UGA001003003,
UGA001003003005,Katabira,5,UGA001003003,
UGA001003003004,West,5,UGA001003003,
UGA001003003003,Lusaka,5,UGA001003003,
UGA001003003002,Nsambya,5,UGA001003003,
UGA001003002010,Kanakulya,5,UGA001003002,
UGA001003002009,Nakibinge,5,UGA001003002,
UGA001003002008,Market A Village,5,UGA001003002,
UGA001003002007,Kibuli,5,UGA001003002,
UGA001003002006,Kitooro,5,UGA001003002,
UGA001003002005,Lubowa,5,UGA001003002,
UGA001003002004,Kakungulu,5,UGA001003002,
UGA001003002003,Green Hill,5,UGA001003002,
UGA001003002002,Kigumba,5,UGA001003002,
UGA001003001010,Kabalagala,5,UGA001003001,
UGA001003001009,Okiling,5,UGA001003001,
UGA001003001008,Kisasizi,5,UGA001003001,
UGA001003001007,Muzungu,5,UGA001003001,
UGA001003001006,Biyinja,5,UGA001003001,
UGA001003001005,Muzaana zone,5,UGA001003001,
UGA001003001004,Kalanzi,5,UGA001003001,
UGA001003001003,Mayor,5,UGA001003001,
UGA001003001002,Kiwafu,5,UGA001003001,
UGA001002002011,Zone 3,5,UGA001002002,
UGA001002002010,Kiswa,5,UGA001002002,
UGA001002002009,Mbuya 1,5,UGA001002002,
UGA001002002008,Bumwena,5,UGA001002002,
UGA001002002007,Mbuya 2,5,UGA001002002,
UGA001002002006,Mbuya 3,5,UGA001002002,
UGA001002002005,Central,5,UGA001002002,
UGA001002002004,Kiganda,5,UGA001002002,
UGA001002002003,Kinawataka,5,UGA001002002,
UGA001002002002,Zone 2,5,UGA001002002,
UGA001002001011,Zone one,5,UGA001002001,
UGA001002001010,Banda 1,5,UGA001002001,
UGA001002001009,B3,5,UGA001002001,
UGA001002001008,B9,5,UGA001002001,
UGA001002001007,B8,5,UGA001002001,
UGA001002001006,B2,5,UGA001002001,
UGA001002001005,B1,5,UGA001002001,
UGA001002001004,Zone 2,5,UGA001002001,
UGA001002001003,Zone 9,5,UGA001002001,
UGA001002001002,Zone 5,5,UGA001002001,
UGA001001002007,Mujomba,5,UGA001001002,
UGA001001002006,Zone 6,5,UGA001001002,
UGA001001002005,Zone 9,5,UGA001001002,
UGA001001002004,Zone 8,5,UGA001001002,
UGA001001002003,Zone 7,5,UGA001001002,
UGA001001002002,Treeshadow Village,5,UGA001001002,
UGA001001001011,Busega,5,UGA001001001,
UGA001001001010,Kitooro,5,UGA001001001,
UGA001001001009,Nabulagala,5,UGA001001001,
UGA001001001008,Nateete,5,UGA001001001,
UGA001001001007,Kitunzi,5,UGA001001001,
UGA001001001006,Zone 7,5,UGA001001001,
UGA001001001005,Lugala,5,UGA001001001,
UGA001001001004,Ssendawula,5,UGA001001001,
UGA001001001003,Kikandwa,5,UGA001001001,
UGA001001001002,Nabisasiro,5,UGA001001001,
UGA001005004001,Sebina,5,UGA001005004,
UGA001004004002,Kasaato,5,UGA001004004,
UGA001004004001,Luzige,5,UGA001004004,
UGA001003007001,Jjuuko,5,UGA001003007,
UGA001003006001,Okirigi,5,UGA001003006,
UGA001003005002,Kevina,5,UGA001003005,
UGA001003005001,Nawanku,5,UGA001003005,
UGA001003004005,Nsambya,5,UGA001003004,
UGA001003004004,Embassy zone,5,UGA001003004,
UGA001003004003,St Paul,5,UGA001003004,
UGA001004002017,School View,5,UGA001004002,
UGA001004002016,Mengo Hill,5,UGA001004002,
UGA001004002015,Mbiro,5,UGA001004002,
UGA001004002014,Kibwa,5,UGA001004002,
UGA001002003004,Buyinja,5,UGA001002003,
UGA001002003003,Mbuya Hill,5,UGA001002003,
UGA001002003002,Kalerwe,5,UGA001002003,
UGA001002003001,Kaggo,5,UGA001002003,
UGA001002001018,B11,5,UGA001002001,
UGA001002001017,B10,5,UGA001002001,
UGA001002001016,B7,5,UGA001002001,
UGA001002001015,B6,5,UGA001002001,
UGA001002001014,B5,5,UGA001002001,
UGA001002001013,B4,5,UGA001002001,
UGA001002001012,Bi,5,UGA001002001,
UGA001003002018,Rajab Kyeyune,5,UGA001003002,
UGA001003002017,Mosque,5,UGA001003002,
UGA001003002016,Market B,5,UGA001003002,
UGA001003002015,Market A,5,UGA001003002,
UGA001003002014,Lubuga,5,UGA001003002,
UGA001003002013,Kisasa,5,UGA001003002,
UGA001003002012,Institutions,5,UGA001003002,
UGA001003002011,Agip,5,UGA001003002,
UGA001003001014,Kyeyune,5,UGA001003001,
