tag,patterns,response,patterns_cleaned,patterns_french,patterns_spanish,patterns_dutch
Happy,I feel so good today!,"My Diary,Arcade",I feel so good today,Je me sens tellement bien aujourd'hui,Me siento muy bien hoy,Ik voel me vandaag zo goed
Happy,This makes me smile!,"My Diary,Arcade",This makes me smile,Cela me fait sourire,Esto me hace sonreír,Dit maakt mij aan het lachen
Happy,I'm on top of the world!,"My Diary,Arcade",I am on top of the world,Je suis au sommet du monde,Estoy en la cima del mundo,Ik sta op de top van de wereld
Happy,Everything is going my way!,"My Diary,Arcade",Everything is going my way,Tout va comme je le souhaite,Todo va como quiero,Alles gaat mijn kant op
Happy,I can't stop laughing!,"My Diary,Arcade",I can't stop laughing,Je ne peux pas arrêter de rire,No puedo parar de reír,Ik kan niet stoppen met lachen
Happy,This is the best day ever!,"My Diary,Arcade",This is the best day ever,C'est le meilleur jour de ma vie,Este es el mejor día de todos,Dit is de beste dag ooit
Happy,I’ve got so much energy!,"My Diary,Arcade",I have got so much energy,J'ai tellement d'énergie,Tengo tanta energía,Ik heb zoveel energie
Happy,I’m in such a great mood!,"My Diary,Arcade",I’m in such a great mood,Je suis de très bonne humeur,Estoy de muy buen humor,Ik ben in zo'n goed humeur
Happy,Life feels perfect right now.,"My Diary,Arcade",Life feels perfect right now,La vie semble parfaite en ce moment,La vida se siente perfecta ahora mismo,Het leven voelt nu perfect
Happy,I’m so grateful for today.,"My Diary,Arcade",I’m so grateful for today,Je suis tellement reconnaissant pour aujourd’hui,Estoy muy agradecido por hoy,Ik ben zo dankbaar voor vandaag
Happy,I’m enjoying every moment!,"My Diary,Arcade",I’m enjoying every moment,Je profite de chaque instant,Estoy disfrutando cada momento,Ik geniet van elk moment
Happy,I feel absolutely amazing!,"My Diary,Arcade",I feel absolutely amazing,Je me sens absolument incroyable,Me siento absolutamente increíble,Ik voel me absoluut geweldig
Happy,I can’t contain my joy!,"My Diary,Arcade",I cannot contain my joy,Je ne peux pas contenir ma joie,No puedo contener mi alegría,Ik kan mijn vreugde niet bedwingen
Happy,Today is a fantastic day to be alive!,"My Diary,Arcade",Today is a fantastic day to be alive,Aujourd'hui est un jour fantastique pour être en vie,Hoy es un día fantástico para estar vivo.,Vandaag is een fantastische dag om te leven
Happy,I’m full of positive energy!,"My Diary,Arcade",I’m full of positive energy,Je suis plein d’énergie positive,Estoy lleno de energía positiva,Ik zit vol positieve energie
Happy,I’m so happy and content with life!,"My Diary,Arcade",I’m so happy and content with life,Je suis tellement heureuse et satisfaite de la vie,Estoy tan feliz y contenta con la vida.,Ik ben zo blij en tevreden met het leven
Happy,I feel so lighthearted!,"My Diary,Arcade",I feel so lighthearted,Je me sens si léger,Me siento tan alegre,Ik voel me zo opgewekt
Happy,I’ve never been this happy before!,"My Diary,Arcade",I have never been this happy before,Je n'ai jamais été aussi heureux auparavant,Nunca he estado tan feliz antes,Ik ben nog nooit zo gelukkig geweest
Happy,I feel incredibly blessed!,"My Diary,Arcade",I feel incredibly blessed,Je me sens incroyablement béni,Me siento increíblemente bendecida,Ik voel me ongelooflijk gezegend
Happy,I am happy today,"My Diary,Arcade",I am happy today,Je suis heureux aujourd'hui,Estoy feliz hoy,Ik ben vandaag blij
Happy,Looks like I am Happy,"My Diary,Arcade",Looks like I am Happy,On dirait que je suis heureux,Parece que estoy feliz,Het lijkt erop dat ik gelukkig ben
Happy,I am in happy zone,"My Diary,Arcade",I am in happy zone,Je suis dans la zone heureuse,Estoy en zona feliz,Ik ben in de happy zone
Happy,I like happy,"My Diary,Arcade",I like happy,J'aime le bonheur,Me gusta feliz,Ik hou van blij
Happy,Everything looks good,"My Diary,Arcade",Everything looks good,Tout semble aller bien,Todo se ve bien,Alles ziet er goed uit
Happy,I feel happy,"My Diary,Arcade",I feel happy,Je me sens heureux,Me siento feliz,Ik voel me gelukkig
Happy,I'm bursting with joy!  ,"My Diary,Arcade",I am bursting with joy  ,Je déborde de joie,Estoy rebosante de alegría,Ik barst van vreugde
Happy,Happiness is radiating from within me.  ,"My Diary,Arcade",Happiness is radiating from within me  ,Le bonheur rayonne de l'intérieur de moi,La felicidad irradia desde dentro de mí.,Geluk straalt van binnenuit mij
Happy,I feel like I'm floating on air!  ,"My Diary,Arcade",I feel like I am floating on air  ,J'ai l'impression de flotter dans les airs,Me siento como si estuviera flotando en el aire.,Ik heb het gevoel dat ik zweef op lucht
Happy,Everything is just perfect today.  ,"My Diary,Arcade",Everything is just perfect today  ,Tout est parfait aujourd'hui,Todo es simplemente perfecto hoy,Vandaag is alles gewoon perfect
Happy,I can’t stop smiling from ear to ear!  ,"My Diary,Arcade",I cannot stop smiling from ear to ear  ,Je ne peux pas m'empêcher de sourire d'une oreille à l'autre,No puedo dejar de sonreír de oreja a oreja.,Ik kan niet stoppen met glimlachen van oor tot oor
Happy,My heart is dancing with joy!  ,"My Diary,Arcade",My heart is dancing with joy  ,Mon cœur danse de joie,Mi corazón está bailando de alegría.,Mijn hart danst van vreugde
Happy,I’m so thrilled with how everything is going!  ,"My Diary,Arcade",I’m so thrilled with how everything is going  ,Je suis tellement ravi de la façon dont tout se passe,Estoy muy emocionada con cómo va todo.,Ik ben zo blij met hoe alles gaat
Happy,I’m filled with pure bliss!  ,"My Diary,Arcade",I’m filled with pure bliss  ,Je suis rempli de pur bonheur,Estoy lleno de pura felicidad,Ik ben vervuld van pure gelukzaligheid
Happy,Every moment today feels magical.  ,"My Diary,Arcade",Every moment today feels magical  ,Chaque instant aujourd'hui semble magique,Cada momento de hoy se siente mágico.,Elk moment vandaag voelt magisch
Happy,Life is truly a beautiful gift!  ,"My Diary,Arcade",Life is truly a beautiful gift  ,La vie est vraiment un beau cadeau,La vida es verdaderamente un hermoso regalo.,Het leven is werkelijk een prachtig geschenk
Happy,I feel like celebrating everything around me.  ,"My Diary,Arcade",I feel like celebrating everything around me  ,J'ai envie de célébrer tout ce qui m'entoure,Tengo ganas de celebrar todo lo que me rodea.,Ik heb zin om alles om mij heen te vieren
Happy,My happiness knows no bounds today!  ,"My Diary,Arcade",My happiness knows no bounds today  ,Mon bonheur ne connaît pas de limites aujourd'hui,Mi felicidad no tiene límites hoy,Mijn geluk kent vandaag geen grenzen
Happy,I’m overflowing with good vibes.  ,"My Diary,Arcade",I’m overflowing with good vibes  ,Je déborde de bonnes vibrations,Estoy rebosante de buenas vibras,Ik word overspoeld met goede vibes
Happy,I’ve got the biggest smile on my face!  ,"My Diary,Arcade",I have got the biggest smile on my face  ,J'ai le plus grand sourire sur mon visage,Tengo la sonrisa más grande en mi cara.,Ik heb de grootste glimlach op mijn gezicht
Happy,It feels like nothing can bring me down today.  ,"My Diary,Arcade",It feels like nothing can bring me down today  ,J'ai l'impression que rien ne peut me faire tomber aujourd'hui,Siento que nada puede derribarme hoy.,Het voelt alsof niets mij vandaag kan neerhalen
Happy,I’m so thankful for this amazing day!  ,"My Diary,Arcade",I’m so thankful for this amazing day  ,Je suis tellement reconnaissant pour cette journée incroyable,Estoy muy agradecido por este increíble día.,Ik ben zo dankbaar voor deze geweldige dag
